CustomerID,BaseCharges,DOC,TotalCharges,DOE,ElectronicBilling,ContractType,PaymentMethod
Cust3010,488.25,05-01-2012,16037.75,21-Mar-09,Yes,Month-to-month,Electronic check
Cust3944,300.75,05-01-2012,18766,02-Dec-06,Yes,Two year,Credit card (automatic)
Cust5951,120.5,05-01-2012,4309.25,21-Dec-08,Yes,Two year,Bank transfer (automatic)
Cust6481,99.25,05-01-2012,694.25,09-Jul-11,No,Month-to-month,Credit card (automatic)
Cust2338,267.5,05-01-2012,267.5,06-Dec-11,Yes,Month-to-month,Mailed check
Cust3517,153.75,05-01-2012,414.25,07-Oct-11,Yes,Month-to-month,Electronic check
Cust1468,396.25,05-01-2012,28659.25,06-Apr-06,Yes,Two year,Bank transfer (automatic)
Cust1360,476.5,05-01-2012,27837.25,01-May-07,Yes,Month-to-month,Credit card (automatic)
Cust2795,351.75,05-01-2012,12764.5,21-Dec-08,Yes,Month-to-month,Mailed check
Cust3485,281.5,05-01-2012,13903,27-Dec-07,Yes,One year,Credit card (automatic)
Cust2747,97.25,05-01-2012,683.75,09-Jun-11,No,One year,Mailed check
Cust3288,228.25,05-01-2012,4925.25,15-Apr-10,No,Month-to-month,Mailed check
Cust3507,446.5,05-01-2012,20960.75,25-Apr-08,Yes,Month-to-month,Credit card (automatic)
Cust6435,499.25,05-01-2012,9962.75,15-Apr-10,Yes,Month-to-month,Credit card (automatic)
Cust3094,101,05-01-2012,704.75,10-May-11,Yes,One year,Bank transfer (automatic)
Cust1279,405,05-01-2012,8418.5,15-May-10,Yes,Month-to-month,Mailed check
Cust5167,252.75,05-01-2012,17158.75,05-Jul-06,No,One year,Credit card (automatic)
Cust3170,256.25,05-01-2012,10758,24-Jun-08,Yes,One year,Bank transfer (automatic)
Cust5798,399,05-01-2012,24574,01-Jan-07,Yes,One year,Electronic check
Cust5557,326.25,05-01-2012,9971.5,19-Jun-09,No,Month-to-month,Credit card (automatic)
Cust5340,326.25,05-01-2012,22394.25,05-Feb-06,Yes,Two year,Credit card (automatic)
Cust4675,127,05-01-2012,4749,19-Feb-09,Yes,Two year,Credit card (automatic)
Cust3826,100.5,05-01-2012,5438.5,01-May-07,Yes,Two year,Bank transfer (automatic)
Cust2262,127.25,05-01-2012,4792.25,22-Oct-08,No,One year,Bank transfer (automatic)
Cust3448,499,05-01-2012,3366.25,09-Jun-11,Yes,Month-to-month,Electronic check
Cust5628,413.25,05-01-2012,29596.75,05-Feb-06,Yes,Two year,Credit card (automatic)
Cust4944,198.5,05-01-2012,3461.75,11-Nov-10,No,Two year,Mailed check
Cust1550,224,05-01-2012,848.25,07-Sep-11,No,Month-to-month,Electronic check
Cust1830,580,05-01-2012,40914.25,06-May-06,Yes,Two year,Electronic check
Cust4144,129.25,05-01-2012,3942.75,17-Oct-09,Yes,Two year,Credit card (automatic)
Cust4750,306.25,05-01-2012,9966,21-Mar-09,No,One year,Mailed check
Cust4997,423.75,05-01-2012,8259.75,14-Jun-10,Yes,Month-to-month,Electronic check
Cust4952,97.5,05-01-2012,534,09-Jul-11,No,NA,Bank transfer (automatic)
Cust5510,422.5,05-01-2012,24227,01-May-07,Yes,Two year,Electronic check
Cust1794,523.25,05-01-2012,12712.25,15-Jan-10,Yes,Month-to-month,Electronic check
Cust3983,373.75,05-01-2012,3998.25,11-Mar-11,Yes,Month-to-month,Electronic check
Cust4541,389.5,05-01-2012,11757.25,19-Jul-09,No,Month-to-month,Mailed check
Cust2196,355.5,05-01-2012,355.5,06-Dec-11,No,Month-to-month,Mailed check
Cust2916,101.25,05-01-2012,4177.5,24-Jul-08,No,Two year,Electronic check
Cust5404,104.5,05-01-2012,2270,14-Feb-10,No,Two year,Mailed check
Cust1804,524.5,05-01-2012,37797.75,05-Feb-06,Yes,Two year,Credit card (automatic)
Cust3682,270,05-01-2012,12201.25,25-May-08,Yes,One year,Electronic check
Cust3917,321.5,05-01-2012,2229.75,09-Jun-11,No,Month-to-month,Bank transfer (automatic)
Cust3103,395.25,05-01-2012,27762.5,07-Mar-06,Yes,One year,Credit card (automatic)
Cust3903,99.25,05-01-2012,894,10-Apr-11,No,Month-to-month,Mailed check
Cust3437,540.5,05-01-2012,38870.25,05-Feb-06,Yes,Two year,Bank transfer (automatic)
Cust4020,306.5,05-01-2012,16734,31-May-07,Yes,Two year,Credit card (automatic)
Cust2278,391.5,05-01-2012,12821.5,21-Mar-09,No,Month-to-month,Electronic check
Cust6064,130.5,05-01-2012,1127.75,11-Mar-11,No,Two year,Credit card (automatic)
Cust1508,246.75,05-01-2012,17576.25,07-Mar-06,No,Two year,Electronic check
Cust5291,224.75,05-01-2012,224.75,06-Dec-11,Yes,Month-to-month,Mailed check
Cust2304,250.75,05-01-2012,250.75,06-Dec-11,No,Month-to-month,Electronic check
Cust5215,415.75,05-01-2012,2230.25,08-Aug-11,Yes,Month-to-month,Credit card (automatic)
Cust3210,455.5,05-01-2012,5678.5,11-Dec-10,Yes,Month-to-month,Electronic check
Cust2192,373.25,05-01-2012,24346.75,03-Oct-06,No,Month-to-month,Credit card (automatic)
Cust2296,527.5,05-01-2012,13430.25,16-Dec-09,Yes,Month-to-month,Electronic check
Cust4844,129.25,05-01-2012,129.25,06-Dec-11,No,One year,Mailed check
Cust5892,192.75,05-01-2012,1400,09-Jun-11,No,Two year,Mailed check
Cust5137,249,05-01-2012,11992,27-Dec-07,No,Two year,Mailed check
Cust5383,464.25,05-01-2012,26525.25,01-Apr-07,Yes,Month-to-month,Electronic check
Cust3202,447.75,05-01-2012,32244.25,05-Feb-06,Yes,Two year,Credit card (automatic)
Cust3946,392.5,05-01-2012,4371,09-Feb-11,Yes,Month-to-month,Electronic check
Cust6336,102.75,05-01-2012,255.75,07-Oct-11,Yes,Month-to-month,Credit card (automatic)
Cust1702,100.5,05-01-2012,5393.75,28-Sep-07,No,Two year,Bank transfer (automatic)
Cust1678,326.25,05-01-2012,18958,01-Apr-07,Yes,Month-to-month,Credit card (automatic)
Cust4711,418.25,05-01-2012,7328.75,14-Jun-10,Yes,Month-to-month,Electronic check
Cust3924,125.25,05-01-2012,4819.75,21-Nov-08,No,Two year,Credit card (automatic)
Cust3563,349,05-01-2012,349,06-Dec-11,Yes,Month-to-month,Electronic check
Cust2814,323.5,05-01-2012,5465.5,13-Aug-10,Yes,Month-to-month,Mailed check
Cust6282,395.5,05-01-2012,27824.25,07-Mar-06,Yes,Two year,Credit card (automatic)
Cust2333,410.75,05-01-2012,28921.5,05-Feb-06,No,Two year,Bank transfer (automatic)
Cust5462,451,05-01-2012,7270.75,13-Aug-10,No,Month-to-month,Credit card (automatic)
Cust3654,436,05-01-2012,20087.25,25-Feb-08,No,Month-to-month,Electronic check
Cust4178,134,05-01-2012,3667.75,16-Dec-09,Yes,One year,Mailed check
Cust2901,176.75,05-01-2012,6589.75,20-Jan-09,No,One year,Mailed check
Cust2852,423.25,05-01-2012,423.25,06-Dec-11,Yes,Month-to-month,Mailed check
Cust2528,372,05-01-2012,9861.75,17-Oct-09,No,Month-to-month,Mailed check
Cust4896,450,05-01-2012,16858.75,21-Dec-08,No,Month-to-month,Electronic check
Cust5108,98,05-01-2012,2133.25,14-Feb-10,No,Two year,Credit card (automatic)
Cust6211,428.5,05-01-2012,1283.75,07-Oct-11,No,Month-to-month,Credit card (automatic)
Cust5982,97.75,05-01-2012,614.5,09-Jul-11,No,Month-to-month,Mailed check
Cust2503,382,05-01-2012,382,06-Dec-11,Yes,Month-to-month,Mailed check
Cust5278,287.75,05-01-2012,15232,30-Jun-07,No,Two year,Bank transfer (automatic)
Cust2457,453.25,05-01-2012,1839.75,07-Sep-11,No,Month-to-month,Electronic check
Cust4177,99.5,05-01-2012,6817.25,06-May-06,No,Two year,Mailed check
Cust6290,95.5,05-01-2012,5719,01-Jan-07,No,One year,Credit card (automatic)
Cust5727,495,05-01-2012,30089.5,31-Jan-07,Yes,Month-to-month,Electronic check
Cust4704,455,05-01-2012,13130.75,17-Sep-09,No,Month-to-month,Electronic check
Cust4954,429.75,05-01-2012,1906.5,07-Sep-11,Yes,Month-to-month,Electronic check
Cust3292,432.75,05-01-2012,28162.75,03-Oct-06,No,Two year,Credit card (automatic)
Cust1728,572.5,05-01-2012,41659.75,05-Feb-06,Yes,Two year,Mailed check
Cust1405,454.25,05-01-2012,32350.5,06-Apr-06,Yes,Month-to-month,Electronic check
Cust6254,251,05-01-2012,3344.25,11-Nov-10,No,Month-to-month,Credit card (automatic)
Cust4151,100.5,05-01-2012,100.5,06-Dec-11,No,Month-to-month,Mailed check
Cust1852,454,05-01-2012,7211,12-Sep-10,Yes,Month-to-month,Bank transfer (automatic)
Cust4374,374,05-01-2012,7190.25,14-Jul-10,No,Month-to-month,Electronic check
Cust2640,505.75,05-01-2012,31919.5,01-Jan-07,No,One year,Bank transfer (automatic)
Cust3853,475,05-01-2012,17201.25,20-Jan-09,Yes,Month-to-month,Bank transfer (automatic)
Cust5384,178.25,05-01-2012,2125.5,09-Feb-11,Yes,Month-to-month,Electronic check
Cust4535,96.25,05-01-2012,MISSINGVAL,06-Dec-11,Yes,Month-to-month,Bank transfer (automatic)
Cust4605,376,05-01-2012,3876.5,09-Feb-11,Yes,Month-to-month,Credit card (automatic)
Cust5039,277.75,05-01-2012,11711,24-Jun-08,No,Month-to-month,Credit card (automatic)
Cust5850,428.25,05-01-2012,1608.25,07-Sep-11,Yes,Month-to-month,Electronic check
Cust6120,229.75,05-01-2012,229.75,06-Dec-11,No,Month-to-month,Mailed check
Cust2292,123.5,05-01-2012,2858.75,15-Jan-10,No,Two year,Mailed check
Cust4776,497.5,05-01-2012,34110.75,04-Aug-06,Yes,Month-to-month,Credit card (automatic)
Cust4747,104.75,05-01-2012,3416.25,19-Jun-09,No,One year,Mailed check
Cust3714,102.25,05-01-2012,1785,14-Jul-10,No,Month-to-month,Mailed check
Cust1735,471.5,05-01-2012,17304.75,21-Dec-08,No,Two year,Mailed check
Cust3818,377,05-01-2012,8739.25,15-Jan-10,Yes,Month-to-month,Credit card (automatic)
Cust1988,479.5,05-01-2012,11174.75,16-Mar-10,No,Month-to-month,Credit card (automatic)
Cust2612,558,05-01-2012,35495,03-Oct-06,Yes,Two year,Bank transfer (automatic)
Cust5891,226.5,05-01-2012,984.75,07-Sep-11,Yes,Month-to-month,Mailed check
Cust4827,271.5,05-01-2012,11952.25,25-May-08,No,Two year,Bank transfer (automatic)
Cust4543,195.75,05-01-2012,13463.75,06-Apr-06,Yes,Two year,Credit card (automatic)
Cust1682,99,05-01-2012,7343.75,05-Feb-06,Yes,Two year,Credit card (automatic)
Cust6084,371,05-01-2012,5669.5,12-Oct-10,Yes,Month-to-month,Credit card (automatic)
Cust2452,128,05-01-2012,4506.25,19-Feb-09,Yes,Month-to-month,Electronic check
Cust4897,98.25,05-01-2012,460.25,08-Aug-11,Yes,Month-to-month,Credit card (automatic)
Cust3171,348.75,05-01-2012,722.75,06-Nov-11,No,Month-to-month,Bank transfer (automatic)
Cust6071,502.75,05-01-2012,21520,24-Jun-08,Yes,One year,Bank transfer (automatic)
Cust3221,472,05-01-2012,30630.75,03-Sep-06,No,Month-to-month,Electronic check
Cust1473,323.25,05-01-2012,18677.25,02-Mar-07,Yes,Month-to-month,Electronic check
Cust3931,100,05-01-2012,993,11-Mar-11,Yes,Month-to-month,Credit card (automatic)
Cust5540,271.75,05-01-2012,271.75,06-Dec-11,No,Month-to-month,Electronic check
Cust3676,256.75,05-01-2012,16222,01-Jan-07,No,Two year,Credit card (automatic)
Cust5870,98.25,05-01-2012,303.25,07-Oct-11,No,Month-to-month,Mailed check
Cust1563,125.5,05-01-2012,3564.25,18-Aug-09,Yes,Month-to-month,Credit card (automatic)
Cust3816,517.25,05-01-2012,7699,12-Oct-10,Yes,Month-to-month,Electronic check
Cust1203,399.75,05-01-2012,5217,10-Jan-11,Yes,Month-to-month,Bank transfer (automatic)
Cust3480,365,05-01-2012,25815,05-Jun-06,Yes,One year,Credit card (automatic)
Cust4067,100,05-01-2012,,05-Jan-12,No,Two year,Mailed check
Cust6288,575.25,05-01-2012,42025,05-Feb-06,No,Two year,Credit card (automatic)
Cust3936,396.25,05-01-2012,5558.25,11-Dec-10,Yes,Month-to-month,Electronic check
Cust6322,497.25,05-01-2012,4597,10-Apr-11,Yes,Month-to-month,Credit card (automatic)
Cust4040,376.5,05-01-2012,7853.5,15-Apr-10,No,Month-to-month,Mailed check
Cust5952,100.5,05-01-2012,2813,17-Oct-09,No,One year,Bank transfer (automatic)
Cust4602,379,05-01-2012,379,06-Dec-11,No,Month-to-month,Electronic check
Cust1717,103.75,05-01-2012,103.75,06-Dec-11,No,Month-to-month,Credit card (automatic)
Cust3082,485,05-01-2012,35521,05-Feb-06,Yes,Two year,Bank transfer (automatic)
Cust2686,376.25,05-01-2012,11722.5,19-Jun-09,Yes,One year,Bank transfer (automatic)
Cust3895,126,05-01-2012,126,06-Dec-11,No,Month-to-month,Mailed check
Cust3710,447.5,05-01-2012,2388.5,08-Aug-11,Yes,Month-to-month,Electronic check
Cust4036,571,05-01-2012,38619.5,06-Apr-06,Yes,Two year,Bank transfer (automatic)
Cust5789,395.25,05-01-2012,23317,31-Jan-07,Yes,Month-to-month,Credit card (automatic)
Cust3046,273.25,05-01-2012,12768.5,25-Apr-08,No,Two year,Bank transfer (automatic)
Cust4212,98.75,05-01-2012,4282.5,26-Mar-08,No,Two year,Credit card (automatic)
Cust5693,497,05-01-2012,36428.5,05-Feb-06,Yes,Two year,Electronic check
Cust5554,475.25,05-01-2012,6450,11-Dec-10,Yes,Month-to-month,Electronic check
Cust3436,522.25,05-01-2012,24319.25,26-Mar-08,Yes,Month-to-month,Electronic check
Cust4185,437.75,05-01-2012,22379.5,28-Oct-07,No,One year,Credit card (automatic)
Cust3047,528.75,05-01-2012,36612.5,05-Jun-06,No,One year,Credit card (automatic)
Cust5265,146.25,05-01-2012,1134.75,10-May-11,Yes,Month-to-month,Mailed check
Cust3827,100.25,05-01-2012,5450.5,31-May-07,No,Two year,Mailed check
Cust2608,402.75,05-01-2012,7033.25,14-Jul-10,Yes,Month-to-month,Credit card (automatic)
Cust6281,470.25,05-01-2012,14332.25,19-Jul-09,Yes,Month-to-month,Credit card (automatic)
Cust6478,98.5,05-01-2012,6505.5,07-Mar-06,No,Two year,Credit card (automatic)
Cust6020,345.25,05-01-2012,9078.25,16-Nov-09,Yes,Month-to-month,Credit card (automatic)
Cust3921,503.75,05-01-2012,6566.25,11-Dec-10,No,Month-to-month,Electronic check
Cust3653,101,05-01-2012,101,06-Dec-11,Yes,Month-to-month,Mailed check
Cust3878,525,05-01-2012,27134.25,28-Sep-07,Yes,One year,Bank transfer (automatic)
Cust3289,353,05-01-2012,353,06-Dec-11,Yes,Month-to-month,Mailed check
Cust5244,470,05-01-2012,3868.25,10-May-11,Yes,Month-to-month,Electronic check
Cust2546,120.5,05-01-2012,1299,10-Apr-11,No,One year,Bank transfer (automatic)
Cust6345,533.5,05-01-2012,35047.5,05-Jul-06,No,Two year,Credit card (automatic)
Cust5319,351.75,05-01-2012,6008.25,13-Aug-10,Yes,One year,Bank transfer (automatic)
Cust1636,315.5,05-01-2012,23427.75,05-Feb-06,Yes,Two year,Bank transfer (automatic)
Cust3559,547,05-01-2012,36408,05-Jul-06,Yes,One year,Electronic check
Cust2152,345,05-01-2012,5540,13-Aug-10,Yes,Month-to-month,Mailed check
Cust3262,352,05-01-2012,352,06-Dec-11,No,Month-to-month,Electronic check
Cust3851,424,05-01-2012,30762,07-Mar-06,Yes,Two year,Electronic check
Cust6178,324.5,05-01-2012,3486.25,09-Feb-11,No,One year,Credit card (automatic)
Cust1446,98.5,05-01-2012,844.5,10-May-11,Yes,Month-to-month,Bank transfer (automatic)
Cust5711,124,05-01-2012,1119.5,11-Mar-11,No,Month-to-month,Credit card (automatic)
Cust4572,127,05-01-2012,5696,25-Feb-08,No,Month-to-month,Electronic check
Cust3663,104,05-01-2012,7606,05-Feb-06,Yes,Two year,Mailed check
Cust6197,456,05-01-2012,16237.75,21-Dec-08,No,One year,Credit card (automatic)
Cust6078,97.75,05-01-2012,498,08-Aug-11,No,One year,Electronic check
Cust2120,398.5,05-01-2012,23930.75,02-Nov-06,Yes,One year,Credit card (automatic)
Cust2805,545.25,05-01-2012,37542.75,05-Jun-06,Yes,Two year,Bank transfer (automatic)
Cust4688,129.5,05-01-2012,6083,25-Apr-08,Yes,One year,Credit card (automatic)
Cust4573,400.25,05-01-2012,6728.25,13-Aug-10,No,Month-to-month,Bank transfer (automatic)
Cust5971,460,05-01-2012,33163.75,05-Feb-06,No,Two year,Bank transfer (automatic)
Cust5723,526,05-01-2012,36930.25,06-May-06,Yes,One year,Bank transfer (automatic)
Cust1267,276.25,05-01-2012,10696,22-Sep-08,Yes,Month-to-month,Mailed check
Cust3471,377,05-01-2012,6902,14-Jul-10,Yes,Month-to-month,Electronic check
Cust1376,442.75,05-01-2012,31811.75,05-Feb-06,No,Two year,Credit card (automatic)
Cust2174,192.5,05-01-2012,13815,05-Feb-06,No,Two year,Credit card (automatic)
Cust4091,104.75,05-01-2012,104.75,06-Dec-11,No,Month-to-month,Mailed check
Cust1943,97,05-01-2012,5551.75,29-Aug-07,Yes,Two year,Mailed check
Cust2097,424.25,05-01-2012,27296,03-Sep-06,Yes,Two year,Bank transfer (automatic)
Cust3845,444,05-01-2012,16702.75,21-Dec-08,Yes,Month-to-month,Electronic check
Cust5464,249,05-01-2012,8671,21-Mar-09,Yes,Month-to-month,Electronic check
Cust5294,425,05-01-2012,27422,03-Oct-06,Yes,Two year,Credit card (automatic)
Cust5025,490.75,05-01-2012,20584,22-Sep-08,Yes,One year,Credit card (automatic)
Cust2772,100.25,05-01-2012,1092.5,11-Mar-11,Yes,Month-to-month,Credit card (automatic)
Cust2701,247.25,05-01-2012,1573,09-Jul-11,Yes,Month-to-month,Electronic check
Cust3558,526,05-01-2012,24114.25,26-Mar-08,Yes,One year,Bank transfer (automatic)
Cust3231,356.25,05-01-2012,356.25,06-Dec-11,Yes,Month-to-month,Electronic check
Cust5947,168,05-01-2012,2751.75,14-Jul-10,No,Month-to-month,Mailed check
Cust3848,100.75,05-01-2012,4854.25,27-Nov-07,No,Two year,Credit card (automatic)
Cust5595,588,05-01-2012,41544.5,05-Feb-06,Yes,Two year,Bank transfer (automatic)
Cust4942,124.75,05-01-2012,6823.75,30-Jul-07,Yes,Month-to-month,Bank transfer (automatic)
Cust6130,377.5,05-01-2012,3187,10-Apr-11,No,Month-to-month,Credit card (automatic)
Cust2001,225,05-01-2012,6143.25,18-Aug-09,Yes,Month-to-month,Electronic check
Cust5032,331.25,05-01-2012,14536.75,24-Jun-08,No,Month-to-month,Bank transfer (automatic)
Cust2597,478.25,05-01-2012,8200,13-Aug-10,Yes,Month-to-month,Bank transfer (automatic)
Cust3925,291,05-01-2012,5226.25,14-Jun-10,No,One year,Electronic check
Cust1944,357.75,05-01-2012,357.75,06-Dec-11,Yes,Month-to-month,Mailed check
Cust3828,197.5,05-01-2012,5413.75,18-Aug-09,No,One year,Credit card (automatic)
Cust4769,564.75,05-01-2012,32325,01-May-07,Yes,Two year,Bank transfer (automatic)
Cust5503,420.75,05-01-2012,20822,27-Nov-07,Yes,One year,Credit card (automatic)
Cust5331,104.75,05-01-2012,1336.75,09-Feb-11,No,Month-to-month,Bank transfer (automatic)
Cust6445,103.25,05-01-2012,6092.25,02-Dec-06,No,Two year,Credit card (automatic)
Cust1552,380.75,05-01-2012,3229,10-May-11,Yes,Two year,Credit card (automatic)
Cust5742,364.75,05-01-2012,19148.75,28-Sep-07,Yes,Month-to-month,Bank transfer (automatic)
Cust4871,203.25,05-01-2012,1644.75,10-Apr-11,No,Month-to-month,Mailed check
Cust2727,299,05-01-2012,3639,10-Jan-11,Yes,One year,Electronic check
Cust2749,353.75,05-01-2012,734.5,06-Nov-11,Yes,Month-to-month,Electronic check
Cust4706,389,05-01-2012,6793,14-Jul-10,No,Month-to-month,Electronic check
Cust3961,126.5,05-01-2012,584.75,07-Sep-11,Yes,Two year,Credit card (automatic)
Cust4114,327.5,05-01-2012,24598.5,05-Feb-06,No,Two year,Bank transfer (automatic)
Cust4179,444,05-01-2012,444,06-Dec-11,Yes,Month-to-month,Electronic check
Cust2671,381.25,05-01-2012,14207.75,21-Dec-08,Yes,Month-to-month,Electronic check
Cust6152,276,05-01-2012,2641.75,11-Mar-11,No,Month-to-month,Credit card (automatic)
Cust6087,528.5,05-01-2012,37360.75,07-Mar-06,Yes,One year,Bank transfer (automatic)
Cust6044,544.5,05-01-2012,14045.25,16-Dec-09,No,Two year,Electronic check
Cust3923,458.5,05-01-2012,17395.25,21-Nov-08,No,Month-to-month,Bank transfer (automatic)
Cust4808,267.25,05-01-2012,3590.5,11-Dec-10,No,Month-to-month,Mailed check
Cust5698,102,05-01-2012,4274.5,22-Sep-08,Yes,One year,Bank transfer (automatic)
Cust6237,345.5,05-01-2012,10469.5,19-Jul-09,Yes,Two year,Credit card (automatic)
Cust6090,278.75,05-01-2012,1334.75,08-Aug-11,Yes,Month-to-month,Mailed check
Cust6112,219.75,05-01-2012,14800.5,06-May-06,Yes,Two year,Credit card (automatic)
Cust5530,125.5,05-01-2012,8625,03-Sep-06,Yes,Two year,Bank transfer (automatic)
Cust4006,224.5,05-01-2012,224.5,06-Dec-11,Yes,Month-to-month,Mailed check
Cust1374,559.75,05-01-2012,22674.5,23-Aug-08,Yes,One year,Electronic check
Cust1946,380.5,05-01-2012,8563.5,15-Jan-10,Yes,Month-to-month,Electronic check
Cust4366,424.5,05-01-2012,28928.25,06-May-06,Yes,Month-to-month,Credit card (automatic)
Cust1732,575.75,05-01-2012,41748.5,05-Feb-06,No,Two year,Electronic check
Cust1722,547,05-01-2012,35157.25,02-Nov-06,Yes,Month-to-month,Bank transfer (automatic)
Cust3522,280.75,05-01-2012,12496.5,24-Jun-08,No,Month-to-month,Electronic check
Cust3756,507.75,05-01-2012,25352,27-Dec-07,No,Month-to-month,Credit card (automatic)
Cust5607,126.25,05-01-2012,2832.5,16-Mar-10,No,Two year,Mailed check
Cust6127,343.25,05-01-2012,7466,15-Apr-10,Yes,Month-to-month,Electronic check
Cust5959,96.5,05-01-2012,1396.5,11-Dec-10,Yes,Month-to-month,Mailed check
