"HouseholdID","Country","State","Retired","HasPartner","HasDependents","Education","Gender"
"Cust2737","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust4796","India","Maharashtra",1,1,2,"Graduation","Male"
"Cust1335","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust5482","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust3545","India","Maharashtra",0,2,2,"Masters","Female"
"Cust4207","India","Maharashtra",1,1,2,"Masters","Male"
"Cust4305","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust4606","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust2788","India","Maharashtra",0,2,2,"Masters","Female"
"Cust3446","?","Maharashtra",1,1,1,"Graduation","Female"
"Cust2770","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust2489","India","Maharashtra",1,1,2,"Masters","Male"
"Cust6322","India","Maharashtra",1,2,2,"Graduation","Male"
"Cust3366","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust4908","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust2247","India","Maharashtra",0,1,2,"Graduation","Male"
"Cust6064","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust2902","India","Maharashtra",0,2,2,"Masters","Female"
"Cust3650","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust4872","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust1538","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust2878","India","Maharashtra",0,1,2,"ProfessionalQalification","Male"
"Cust5534","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust5006","India","Maharashtra",0,1,2,"Highschool or below","Female"
"Cust3362","India","Maharashtra",0,1,2,"ProfessionalQalification","Male"
"Cust5920","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust3022","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust2989","India","Maharashtra",0,2,2,"Masters","Male"
"Cust3554","India","Maharashtra",0,2,1,"Graduation","Male"
"Cust2433","India","Maharashtra",0,1,2,"ProfessionalQalification","Female"
"Cust4180","India","Maharashtra",0,1,2,"Highschool or below","Female"
"Cust5530","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust3160","India","Maharashtra",1,2,2,"Highschool or below","Female"
"Cust4512","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust3716","India","Maharashtra",1,1,2,"Highschool or below","Male"
"Cust2903","India","Maharashtra",0,1,1,"Other","Female"
"Cust3375","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust3883","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust4692","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust2189","India","Maharashtra",1,2,2,"Highschool or below","Male"
"Cust2008","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust3585","India","Maharashtra",0,1,1,"ProfessionalQalification","Male"
"Cust2811","India","Maharashtra",0,2,2,"Masters","Female"
"Cust3552","India","Maharashtra",1,1,1,"Highschool or below","Male"
"Cust3218","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust5248","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust4791","India","Maharashtra",0,1,1,"Masters","Female"
"Cust5079","India","Maharashtra",0,1,2,"Graduation","Male"
"Cust5109","India","Maharashtra",1,2,2,"Graduation","Male"
"Cust6364","India","Maharashtra",0,2,1,"Masters","Female"
"Cust6095","India","Maharashtra",0,2,2,"Masters","Female"
"Cust4876","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust4637","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust6053","India","Maharashtra",0,1,1,"ProfessionalQalification","Male"
"Cust6258","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust3618","India","Maharashtra",1,1,2,"Graduation","Female"
"Cust6240","India","Maharashtra",0,2,2,"Masters","Female"
"Cust4838","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust2143","India","Maharashtra",0,1,2,"ProfessionalQalification","Male"
"Cust2147","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust4323","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust5846","India","Maharashtra",0,1,2,"Masters","Female"
"Cust4722","India","Maharashtra",1,1,2,"Graduation","Female"
"Cust1967","India","Maharashtra",0,2,1,"ProfessionalQalification","Female"
"Cust2139","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust6434","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust3223","India","Maharashtra",0,1,2,"Masters","Male"
"Cust1254","India","Maharashtra",1,2,2,"Graduation","Female"
"Cust2494","India","Maharashtra",1,2,2,"Masters","Male"
"Cust2387","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust4772","India","Maharashtra",1,1,2,"Graduation","Male"
"Cust5502","India","Maharashtra",0,1,1,"Masters","Female"
"Cust4171","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust2493","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust1314","India","Maharashtra",0,1,1,"Masters","Male"
"Cust3341","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust4210","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust3369","India","?",0,1,1,"Masters","Female"
"Cust4454","India","Maharashtra",1,2,2,"ProfessionalQalification","Female"
"Cust1813","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust1587","India","Maharashtra",0,1,1,"ProfessionalQalification","Male"
"Cust3772","India","Maharashtra",0,1,2,"ProfessionalQalification","Male"
"Cust2369","India","Maharashtra",0,2,2,"Masters","Female"
"Cust4738","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust1795","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust1372","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust2311","India","Maharashtra",1,1,1,"Highschool or below","Male"
"Cust1330","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust4412","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust4185","India","Maharashtra",0,2,2,"Masters","Female"
"Cust6335","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust4308","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust2946","India","Maharashtra",1,1,2,"Graduation","Female"
"Cust2265","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust1576","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust2687","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust5080","India","Maharashtra",0,1,1,"ProfessionalQalification","Male"
"Cust6124","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust3489","India","Maharashtra",0,1,1,"Masters","Male"
"Cust4162","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust2582","India","Maharashtra",0,1,1,"Masters","Male"
"Cust4353","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust5808","India","Maharashtra",0,2,2,"Masters","Female"
"Cust5794","India","Maharashtra",0,1,2,"Highschool or below","Female"
"Cust2279","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust4999","India","Maharashtra",1,1,2,"Masters","Female"
"Cust3784","India","Maharashtra",0,2,2,"Masters","Male"
"Cust5108","India","Maharashtra",0,1,1,"Masters","Male"
"Cust6248","India","Maharashtra",0,2,2,"Masters","Male"
"Cust3914","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust2911","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust4051","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust1574","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust3310","India","Maharashtra",1,2,2,"ProfessionalQalification","Female"
"Cust4581","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust1570","India","Maharashtra",0,2,2,"Masters","Male"
"Cust1737","India","Maharashtra",0,2,2,"Masters","Male"
"Cust3070","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust4183","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust6045","India","Maharashtra",0,1,1,"Masters","Female"
"Cust1359","India","Maharashtra",1,2,2,"Graduation","Female"
"Cust1301","India","Maharashtra",0,1,1,"Masters","Male"
"Cust3031","India","Maharashtra",0,2,2,"Masters","Male"
"Cust3892","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust4816","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust3035","India","Maharashtra",0,2,1,"Graduation","Female"
"Cust2098","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust4052","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust5388","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust1840","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust1736","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust2866","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust6319","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust2877","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust5112","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust1596","India","Maharashtra",1,1,2,"ProfessionalQalification","Male"
"Cust6394","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust1417","India","Maharashtra",0,1,1,"Masters","Female"
"Cust1291","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust2666","India","Maharashtra",1,1,2,"Highschool or below","Male"
"Cust5405","India","Maharashtra",0,2,1,"Masters","Male"
"Cust3729","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust5889","India","Maharashtra",1,1,2,"Highschool or below","Female"
"Cust4408","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust4361","India","Maharashtra",0,2,1,"Masters","Female"
"Cust2388","India","Maharashtra",0,1,2,"Masters","Female"
"Cust4465","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust5567","India","Maharashtra",1,1,2,"Highschool or below","Female"
"Cust5254","India","Maharashtra",0,2,2,"Masters","Male"
"Cust1428","India","Maharashtra",0,1,1,"Masters","Female"
"Cust6037","India","Maharashtra",0,2,1,"Graduation","Male"
"Cust5492","India","Maharashtra",1,1,1,"Highschool or below","Male"
"Cust3610","India","Maharashtra",0,2,1,"Masters","Male"
"Cust1866","India","Maharashtra",0,1,1,"Masters","Female"
"Cust5137","India","Maharashtra",1,1,2,"Highschool or below","Male"
"Cust1341","India","Maharashtra",0,1,2,"Graduation","Male"
"Cust2398","India","Maharashtra",1,1,2,"Highschool or below","Male"
"Cust6332","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust1339","India","Maharashtra",1,1,2,"Highschool or below","Female"
"Cust4428","India","Maharashtra",1,1,2,"ProfessionalQalification","Male"
"Cust3153","India","Maharashtra",0,1,2,"Masters","Female"
"Cust4400","India","Maharashtra",0,2,2,"Masters","Male"
"Cust2751","India","Maharashtra",0,1,2,"Masters","Male"
"Cust3627","India","Maharashtra",0,1,1,"ProfessionalQalification","Male"
"Cust5318","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust2560","India","Maharashtra",0,2,2,"Masters","Male"
"Cust2948","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust3775","India","Maharashtra",1,1,2,"ProfessionalQalification","Male"
"Cust1541","India","Maharashtra",0,1,1,"Masters","Female"
"Cust3253","India","Maharashtra",0,2,2,"Masters","Male"
"Cust4821","India","Maharashtra",0,1,2,"ProfessionalQalification","Male"
"Cust2295","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust5367","India","Maharashtra",0,1,2,"ProfessionalQalification","Female"
"Cust5129","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust5357","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust1277","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust1334","India","Maharashtra",1,1,2,"ProfessionalQalification","Male"
"Cust6411","India","Maharashtra",0,1,1,"Masters","Male"
"Cust2413","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust2611","India","Maharashtra",0,2,2,"Masters","Male"
"Cust4273","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust2954","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust2401","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust2125","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust4209","India","Maharashtra",1,2,2,"Masters","Female"
"Cust1982","India","Maharashtra",0,2,2,"Masters","Male"
"Cust6304","India","Maharashtra",0,1,1,"Masters","Female"
"Cust4936","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust2591","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust2471","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust4003","India","Maharashtra",1,2,2,"Highschool or below","Female"
"Cust5003","India","Maharashtra",0,1,2,"Graduation","Male"
"Cust2314","India","Maharashtra",1,2,2,"Masters","Female"
"Cust1282","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust3948","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust5940","India","Maharashtra",1,1,2,"Graduation","Female"
"Cust4414","India","Maharashtra",0,2,2,"Masters","Female"
"Cust2113","India","Maharashtra",0,2,1,"Highschool or below","Male"
"Cust3437","India","Maharashtra",1,2,2,"ProfessionalQalification","Female"
"Cust5701","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust4638","India","Maharashtra",0,1,2,"Masters","Male"
"Cust3269","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust1279","India","Maharashtra",0,1,2,"Masters","Female"
"Cust2515","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust2054","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust2600","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust2132","India","Maharashtra",0,1,2,"Graduation","Male"
"Cust2806","India","Maharashtra",0,1,2,"Highschool or below","Female"
"Cust2552","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust4790","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust3778","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust4018","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust2738","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust6077","India","Maharashtra",0,1,2,"Masters","Male"
"Cust2002","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust3241","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust5326","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust6379","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust6175","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust2083","India","Maharashtra",0,1,2,"Highschool or below","Female"
"Cust1746","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust2237","India","Maharashtra",0,2,2,"Masters","Female"
"Cust2678","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust1490","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust2970","India","Maharashtra",1,2,2,"Graduation","Male"
"Cust5715","India","Maharashtra",0,2,2,"Masters","Female"
"Cust6234","India","Maharashtra",0,1,1,"ProfessionalQalification","Male"
"Cust4767","India","Maharashtra",1,2,2,"Highschool or below","Female"
"Cust3785","India","Maharashtra",0,1,2,"Highschool or below","Female"
"Cust4231","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust3632","India","Maharashtra",1,1,2,"Masters","Female"
"Cust5871","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust5472","India","Maharashtra",0,2,2,"Masters","Female"
"Cust6455","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust1880","India","Maharashtra",0,2,1,"Graduation","Male"
"Cust1767","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust3171","India","Maharashtra",0,2,2,"Masters","Female"
"Cust5266","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust2226","India","Maharashtra",0,2,1,"Masters","Female"
"Cust2317","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust3015","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust1806","India","Maharashtra",0,2,2,"Masters","Male"
"Cust3172","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust5218","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust2087","India","Maharashtra",0,1,1,"Masters","Female"
"Cust2104","India","Maharashtra",0,2,2,"Masters","Female"
"Cust1666","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust6427","India","Maharashtra",0,1,2,"ProfessionalQalification","Female"
"Cust3363","India","Maharashtra",0,1,1,"ProfessionalQalification","Male"
"Cust3747","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust2925","India","Maharashtra",0,1,2,"Masters","Female"
"Cust2410","India","Maharashtra",1,1,2,"Masters","Female"
"Cust4422","India","Maharashtra",0,2,2,"Masters","Male"
"Cust2071","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust1954","India","Maharashtra",0,1,2,"Masters","Male"
"Cust3227","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust4141","India","Maharashtra",1,1,2,"Highschool or below","Male"
"Cust3904","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust2105","India","Maharashtra",0,1,2,"Masters","Female"
"Cust3165","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust5363","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust2861","India","Maharashtra",1,1,1,"Graduation","Female"
"Cust5293","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust4604","India","Maharashtra",0,1,2,"Graduation","Male"
"Cust3559","India","Maharashtra",0,1,1,"Masters","Female"
"Cust2745","India","Maharashtra",0,1,2,"ProfessionalQalification","Female"
"Cust5820","India","Maharashtra",0,2,2,"Masters","Male"
"Cust5380","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust5642","India","Maharashtra",1,2,2,"Highschool or below","Female"
"Cust1329","India","Maharashtra",1,1,2,"Masters","Female"
"Cust3547","India","Maharashtra",1,1,2,"Masters","Female"
"Cust2870","India","Maharashtra",0,2,2,"Masters","Male"
"Cust1744","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust5945","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust3055","India","Maharashtra",0,1,2,"ProfessionalQalification","Female"
"Cust4883","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust4494","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust3936","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust2651","India","Maharashtra",1,1,1,"Graduation","Male"
"Cust6278","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust1572","India","Maharashtra",0,1,2,"ProfessionalQalification","Male"
"Cust5376","India","Maharashtra",0,1,2,"ProfessionalQalification","Female"
"Cust3091","India","Maharashtra",0,1,1,"Masters","Female"
"Cust4739","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust4294","India","Maharashtra",1,1,1,"Masters","Male"
"Cust4863","India","Maharashtra",1,2,2,"Highschool or below","Male"
"Cust3005","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust5374","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust5200","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust4357","India","Maharashtra",1,1,2,"ProfessionalQalification","Female"
"Cust3475","India","Maharashtra",0,1,2,"Other","Female"
"Cust3824","India","Maharashtra",0,2,2,"Masters","Male"
"Cust4193","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust2246","India","Maharashtra",0,2,1,"ProfessionalQalification","Female"
"Cust1747","India","Maharashtra",0,2,2,"Masters","Female"
"Cust3402","India","Maharashtra",0,1,2,"Masters","Male"
"Cust2359","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust3994","India","Maharashtra",0,2,2,"Masters","Male"
"Cust5371","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust1619","India","Maharashtra",0,1,2,"Masters","Male"
"Cust1214","India","Maharashtra",0,2,1,"Graduation","Female"
"Cust3491","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust5840","India","Maharashtra",0,2,2,"Masters","Male"
"Cust6309","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust5432","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust4542","India","Maharashtra",1,2,2,"Other","Female"
"Cust5527","India","Maharashtra",0,1,1,"Masters","Male"
"Cust5366","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust4059","India","Maharashtra",0,2,1,"Masters","Male"
"Cust2092","India","Maharashtra",0,1,1,"ProfessionalQalification","Male"
"Cust4945","India","Maharashtra",0,1,1,"ProfessionalQalification","Male"
"Cust4380","India","Maharashtra",1,1,2,"Highschool or below","Male"
"Cust4786","India","Maharashtra",0,2,2,"Masters","Female"
"Cust6265","India","Maharashtra",0,1,1,"Masters","Female"
"Cust2769","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust2723","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust4040","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust3058","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust4578","India","Maharashtra",0,1,2,"ProfessionalQalification","Male"
"Cust1604","India","Maharashtra",1,1,2,"Graduation","Male"
"Cust4646","India","Maharashtra",0,2,2,"Masters","Female"
"Cust2005","India","Maharashtra",0,2,1,"Masters","Male"
"Cust1684","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust3393","India","Maharashtra",0,1,1,"Masters","Female"
"Cust2831","India","Maharashtra",0,1,1,"ProfessionalQalification","Male"
"Cust3347","India","Maharashtra",0,1,2,"Highschool or below","Male"
"Cust2965","India","Maharashtra",0,2,1,"Masters","Male"
"Cust5283","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust4672","India","Maharashtra",0,2,2,"Masters","Male"
"Cust4880","India","Maharashtra",1,1,2,"Graduation","Female"
"Cust1636","India","Maharashtra",1,1,2,"Highschool or below","Male"
"Cust1398","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust5101","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust5488","India","Maharashtra",1,1,2,"Highschool or below","Female"
"Cust2337","India","Maharashtra",0,1,2,"Highschool or below","Female"
"Cust5528","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust2575","India","Maharashtra",1,1,1,"Highschool or below","Male"
"Cust1953","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust4010","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust4585","India","Maharashtra",0,2,1,"ProfessionalQalification","Male"
"Cust5097","India","Maharashtra",0,1,2,"ProfessionalQalification","Female"
"Cust5517","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust6083","India","Maharashtra",0,2,2,"Masters","Female"
"Cust4008","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust4840","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust2947","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust5136","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust1239","India","Maharashtra",0,2,2,"Masters","Male"
"Cust3455","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust3663","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust3709","India","Maharashtra",1,1,2,"Masters","Female"
"Cust5354","India","Maharashtra",0,2,2,"Masters","Female"
"Cust5104","India","Maharashtra",0,2,2,"Masters","Female"
"Cust4036","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust2309","India","Maharashtra",0,1,1,"Masters","Female"
"Cust2399","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust6363","India","Maharashtra",0,1,1,"Masters","Female"
"Cust2665","India","Maharashtra",0,2,2,"Masters","Female"
"Cust1717","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust3011","India","Maharashtra",0,2,2,"ProfessionalQalification","Male"
"Cust1582","India","Maharashtra",0,1,2,"Graduation","Male"
"Cust3808","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust2586","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust6122","India","Maharashtra",0,2,2,"Other","Female"
"Cust2519","India","Maharashtra",1,2,2,"Highschool or below","Female"
"Cust2178","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust2726","India","Maharashtra",0,1,1,"Masters","Male"
"Cust6076","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust1294","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust2454","India","Maharashtra",1,1,2,"Highschool or below","Female"
"Cust2475","India","Maharashtra",0,1,1,"Highschool or below","Female"
"Cust5322","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust2829","India","Maharashtra",0,2,2,"Highschool or below","Male"
"Cust5187","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust3168","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust3922","India","Maharashtra",0,1,2,"Highschool or below","Female"
"Cust2263","India","Maharashtra",0,1,1,"Masters","Male"
"Cust5900","India","Maharashtra",0,1,1,"Masters","Male"
"Cust6428","India","Maharashtra",1,1,2,"Masters","Male"
"Cust3834","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust5975","India","Maharashtra",0,1,2,"Graduation","Male"
"Cust5858","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust6371","India","Maharashtra",0,2,1,"Graduation","Female"
"Cust2517","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust3810","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust6295","India","Maharashtra",0,1,2,"Masters","Male"
"Cust1793","India","Maharashtra",0,2,2,"Masters","Female"
"Cust1958","India","Maharashtra",1,1,2,"Highschool or below","Male"
"Cust2290","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust2719","India","Maharashtra",0,2,2,"Highschool or below","Male"
