"CustomerID","TypeOfService","SeviceDetails"
"Cust3147","OnlineBackup","No internet service"
"Cust5978","MultipleLines","No"
"Cust1672","OnlineSecurity","Yes"
"Cust3699","StreamingMovies","Yes"
"Cust3708","HasPhoneService","1"
"Cust4588","OnlineBackup","Yes"
"Cust2789","StreamingMovies","No"
"Cust2014","StreamingMovies","No"
"Cust3289","DeviceProtection","No"
"Cust2743","InternetServiceCategory","Fiber optic"
"Cust4735","HasPhoneService","1"
"Cust2082","OnlineSecurity","No internet service"
"Cust6416","StreamingTelevision","No internet service"
"Cust1912","DeviceProtection","No"
"Cust4196","StreamingTelevision","Yes"
"Cust4412","TechnicalSupport","No"
"Cust2508","HasPhoneService","1"
"Cust3311","StreamingTelevision","No internet service"
"Cust4336","DeviceProtection","No"
"Cust5071","MultipleLines","Yes"
"Cust5983","DeviceProtection","Yes"
"Cust5753","OnlineSecurity","No internet service"
"Cust2592","DeviceProtection","No"
"Cust2418","MultipleLines","No"
"Cust3077","HasPhoneService","1"
"Cust4036","DeviceProtection","Yes"
"Cust3554","OnlineBackup","No internet service"
"Cust5049","TechnicalSupport","Yes"
"Cust6086","StreamingTelevision","No"
"Cust1754","TechnicalSupport","Yes"
"Cust4710","StreamingTelevision","No"
"Cust2569","MultipleLines","Yes"
"Cust1237","TechnicalSupport","No"
"Cust3656","StreamingTelevision","No internet service"
"Cust5239","DeviceProtection","No"
"Cust5054","TechnicalSupport","No"
"Cust3740","MultipleLines","No"
"Cust6415","OnlineSecurity","Yes"
"Cust5849","StreamingTelevision","Yes"
"Cust1310","MultipleLines","No"
"Cust4217","StreamingTelevision","Yes"
"Cust3196","DeviceProtection","No"
"Cust5495","InternetServiceCategory","DSL"
"Cust6420","OnlineBackup","Yes"
"Cust5706","OnlineBackup","Yes"
"Cust2460","DeviceProtection","No"
"Cust2851","InternetServiceCategory","Fiber optic"
"Cust6230","OnlineBackup","No"
"Cust3120","OnlineSecurity","No"
"Cust2193","MultipleLines","Yes"
"Cust3170","StreamingTelevision","Yes"
"Cust3398","OnlineSecurity","No"
"Cust3426","DeviceProtection","No"
"Cust5738","InternetServiceCategory","Fiber optic"
"Cust5455","TechnicalSupport","No"
"Cust5011","DeviceProtection","No"
"Cust5267","DeviceProtection","Yes"
"Cust3447","InternetServiceCategory","DSL"
"Cust4280","StreamingTelevision","Yes"
"Cust6182","StreamingTelevision","No"
"Cust3136","OnlineSecurity","No"
"Cust2462","InternetServiceCategory","Fiber optic"
"Cust2601","HasPhoneService","1"
"Cust2093","TechnicalSupport","No internet service"
"Cust5988","StreamingTelevision","No"
"Cust5710","StreamingTelevision","No internet service"
"Cust1287","OnlineSecurity","No"
"Cust2431","HasPhoneService","1"
"Cust6337","OnlineSecurity","No internet service"
"Cust5064","StreamingTelevision","Yes"
"Cust4897","OnlineSecurity","No internet service"
"Cust3740","TechnicalSupport","No internet service"
"Cust3626","OnlineBackup","No internet service"
"Cust4141","MultipleLines","Yes"
"Cust5134","HasPhoneService","1"
"Cust1665","InternetServiceCategory","Fiber optic"
"Cust5620","OnlineSecurity","No"
"Cust1447","StreamingTelevision","No"
"Cust3595","HasPhoneService","0"
"Cust5056","StreamingTelevision","No"
"Cust5105","InternetServiceCategory","DSL"
"Cust6357","StreamingMovies","No"
"Cust3301","OnlineSecurity","Yes"
"Cust2446","StreamingMovies","Yes"
"Cust1652","InternetServiceCategory","DSL"
"Cust4260","DeviceProtection","Yes"
"Cust4093","InternetServiceCategory","DSL"
"Cust1721","StreamingMovies","No"
"Cust1221","MultipleLines","Yes"
"Cust1682","MultipleLines","No"
"Cust4042","HasPhoneService","1"
"Cust3975","InternetServiceCategory","Fiber optic"
"Cust5525","MultipleLines","Yes"
"Cust5405","StreamingTelevision","No"
"Cust2821","InternetServiceCategory","No"
"Cust3156","TechnicalSupport","No internet service"
"Cust3172","HasPhoneService","1"
"Cust2570","OnlineBackup","No internet service"
"Cust5239","StreamingTelevision","No"
"Cust4038","OnlineBackup","No"
"Cust3567","StreamingTelevision","Yes"
"Cust2193","HasPhoneService","1"
"Cust3931","MultipleLines","No"
"Cust1506","HasPhoneService","1"
"Cust3583","InternetServiceCategory","Fiber optic"
"Cust5920","StreamingTelevision","No internet service"
"Cust1864","StreamingMovies","No internet service"
"Cust2260","TechnicalSupport","No"
"Cust1204","DeviceProtection","No"
"Cust1281","OnlineBackup","No"
"Cust3421","TechnicalSupport","No"
"Cust1866","HasPhoneService","1"
"Cust3900","DeviceProtection","No internet service"
"Cust5780","InternetServiceCategory","DSL"
"Cust4605","OnlineSecurity","No"
"Cust5871","DeviceProtection","No internet service"
"Cust2603","TechnicalSupport","No internet service"
"Cust4876","DeviceProtection","No"
"Cust6234","HasPhoneService","1"
"Cust1752","OnlineBackup","No internet service"
"Cust1992","StreamingTelevision","Yes"
"Cust5835","TechnicalSupport","Yes"
"Cust2148","HasPhoneService","1"
"Cust4211","StreamingTelevision","No internet service"
"Cust4707","OnlineSecurity","No"
"Cust4534","OnlineBackup","Yes"
"Cust2914","HasPhoneService","1"
"Cust3427","TechnicalSupport","Yes"
"Cust3473","StreamingTelevision","No internet service"
"Cust1403","InternetServiceCategory","Fiber optic"
"Cust6191","OnlineBackup","No"
"Cust5582","StreamingMovies","Yes"
"Cust1873","DeviceProtection","No"
"Cust4642","DeviceProtection","No internet service"
"Cust4025","OnlineSecurity","Yes"
"Cust4876","TechnicalSupport","Yes"
"Cust5623","OnlineSecurity","No internet service"
"Cust4131","DeviceProtection","No internet service"
"Cust5782","InternetServiceCategory","No"
"Cust1502","HasPhoneService","1"
"Cust1924","InternetServiceCategory","DSL"
"Cust2530","DeviceProtection","No"
"Cust5750","StreamingMovies","Yes"
"Cust4790","TechnicalSupport","No"
"Cust1388","TechnicalSupport","No"
"Cust4958","StreamingTelevision","No"
"Cust4260","MultipleLines","Yes"
"Cust3333","StreamingTelevision","Yes"
"Cust3865","MultipleLines","Yes"
"Cust4615","DeviceProtection","Yes"
"Cust5037","DeviceProtection","No"
"Cust4481","OnlineSecurity","Yes"
"Cust6172","StreamingTelevision","Yes"
"Cust1628","StreamingMovies","No internet service"
"Cust2575","MultipleLines","No phone service"
"Cust1580","OnlineSecurity","No internet service"
"Cust4881","HasPhoneService","1"
"Cust5976","DeviceProtection","No"
"Cust4337","StreamingMovies","Yes"
"Cust2791","DeviceProtection","No"
"Cust5470","HasPhoneService","1"
"Cust6162","OnlineBackup","No"
"Cust4689","StreamingTelevision","Yes"
"Cust4702","MultipleLines","No phone service"
"Cust5190","InternetServiceCategory","No"
"Cust5178","StreamingMovies","No"
"Cust5060","OnlineBackup","Yes"
"Cust1934","InternetServiceCategory","Fiber optic"
"Cust4098","OnlineSecurity","No"
"Cust1722","TechnicalSupport","No"
"Cust6171","HasPhoneService","1"
"Cust1430","DeviceProtection","No internet service"
"Cust3528","HasPhoneService","1"
"Cust5123","StreamingMovies","Yes"
"Cust3511","StreamingTelevision","Yes"
"Cust3187","HasPhoneService","1"
"Cust5117","StreamingMovies","No internet service"
"Cust1591","InternetServiceCategory","DSL"
"Cust5768","OnlineBackup","No internet service"
"Cust5123","OnlineSecurity","No"
"Cust6443","OnlineBackup","No internet service"
"Cust2609","OnlineBackup","No"
"Cust4070","OnlineSecurity","No"
"Cust6029","InternetServiceCategory","DSL"
"Cust1625","DeviceProtection","No"
"Cust3323","TechnicalSupport","No"
"Cust4229","InternetServiceCategory","Fiber optic"
"Cust6485","StreamingTelevision","No"
"Cust1660","TechnicalSupport","Yes"
"Cust3191","MultipleLines","Yes"
"Cust2241","MultipleLines","Yes"
"Cust4571","TechnicalSupport","Yes"
"Cust4700","StreamingMovies","No internet service"
"Cust2379","StreamingTelevision","Yes"
"Cust5619","DeviceProtection","No"
"Cust4745","StreamingTelevision","No"
"Cust3735","TechnicalSupport","No"
"Cust1811","HasPhoneService","1"
"Cust6187","TechnicalSupport","No internet service"
"Cust3133","OnlineBackup","No internet service"
"Cust3936","MultipleLines","No"
"Cust5426","OnlineSecurity","No"
"Cust3914","DeviceProtection","Yes"
"Cust2323","OnlineSecurity","Yes"
"Cust4352","OnlineBackup","No internet service"
"Cust3769","StreamingTelevision","Yes"
"Cust3508","HasPhoneService","1"
"Cust2815","HasPhoneService","1"
"Cust1993","HasPhoneService","1"
"Cust1795","DeviceProtection","No internet service"
"Cust2926","OnlineSecurity","No"
"Cust3503","InternetServiceCategory","Fiber optic"
"Cust3628","OnlineSecurity","No"
"Cust5127","DeviceProtection","Yes"
"Cust3026","StreamingMovies","No"
"Cust3483","DeviceProtection","No"
"Cust4665","OnlineSecurity","Yes"
"Cust3088","MultipleLines","No phone service"
"Cust3029","DeviceProtection","No"
"Cust2923","StreamingMovies","Yes"
"Cust1284","OnlineSecurity","No internet service"
"Cust1473","OnlineBackup","No"
"Cust1340","OnlineBackup","No"
"Cust3285","OnlineBackup","No"
"Cust1554","TechnicalSupport","No"
"Cust1350","TechnicalSupport","Yes"
"Cust4597","StreamingTelevision","Yes"
"Cust3761","StreamingMovies","No internet service"
"Cust1212","MultipleLines","No"
"Cust4332","TechnicalSupport","No internet service"
"Cust4237","DeviceProtection","Yes"
"Cust4758","StreamingMovies","No"
"Cust5872","HasPhoneService","1"
"Cust3781","TechnicalSupport","Yes"
"Cust4078","DeviceProtection","Yes"
"Cust2552","OnlineBackup","No"
"Cust5562","MultipleLines","No phone service"
"Cust1961","StreamingTelevision","No"
"Cust3239","TechnicalSupport","No internet service"
"Cust4618","MultipleLines","No"
"Cust2811","StreamingMovies","No"
"Cust1924","HasPhoneService","1"
"Cust2178","StreamingTelevision","No"
"Cust3029","StreamingMovies","No"
"Cust5698","OnlineSecurity","No internet service"
"Cust2000","HasPhoneService","0"
"Cust4863","StreamingMovies","Yes"
"Cust2599","TechnicalSupport","No internet service"
"Cust3014","MultipleLines","No"
"Cust2187","InternetServiceCategory","No"
"Cust5198","OnlineSecurity","No internet service"
"Cust2787","InternetServiceCategory","DSL"
"Cust1771","HasPhoneService","1"
"Cust5793","HasPhoneService","1"
"Cust6344","StreamingMovies","No"
"Cust3065","TechnicalSupport","No"
"Cust3555","OnlineSecurity","No internet service"
"Cust4049","HasPhoneService","1"
"Cust2208","TechnicalSupport","No internet service"
"Cust4607","MultipleLines","No"
"Cust3694","OnlineSecurity","No internet service"
"Cust5785","StreamingMovies","No internet service"
"Cust3776","OnlineSecurity","Yes"
"Cust5997","MultipleLines","No"
"Cust3880","OnlineSecurity","Yes"
"Cust5958","InternetServiceCategory","Fiber optic"
"Cust2911","HasPhoneService","1"
"Cust6401","DeviceProtection","Yes"
"Cust6094","HasPhoneService","0"
"Cust2425","StreamingTelevision","No internet service"
"Cust2836","InternetServiceCategory","Fiber optic"
"Cust2204","TechnicalSupport","Yes"
"Cust2385","OnlineSecurity","Yes"
"Cust5943","OnlineBackup","No"
"Cust5538","MultipleLines","No"
"Cust3173","HasPhoneService","1"
"Cust2927","InternetServiceCategory","Fiber optic"
"Cust2908","InternetServiceCategory","No"
"Cust2642","InternetServiceCategory","No"
"Cust2745","DeviceProtection","No"
"Cust3653","OnlineSecurity","No internet service"
"Cust4523","InternetServiceCategory","DSL"
"Cust3828","MultipleLines","No phone service"
"Cust3124","StreamingTelevision","Yes"
"Cust3420","OnlineBackup","No"
"Cust2514","OnlineSecurity","No"
"Cust3734","OnlineBackup","No"
"Cust4060","StreamingMovies","Yes"
"Cust5063","HasPhoneService","1"
"Cust4730","StreamingTelevision","No"
"Cust6419","OnlineBackup","No"
"Cust4472","OnlineBackup","No"
"Cust4265","HasPhoneService","1"
"Cust4669","TechnicalSupport","Yes"
"Cust5940","StreamingMovies","No"
"Cust3682","DeviceProtection","Yes"
"Cust4222","OnlineSecurity","No internet service"
"Cust4096","OnlineSecurity","No"
"Cust1846","HasPhoneService","1"
"Cust2744","InternetServiceCategory","No"
"Cust3241","HasPhoneService","1"
"Cust5987","InternetServiceCategory","No"
"Cust4809","OnlineBackup","Yes"
"Cust5894","StreamingMovies","Yes"
"Cust3815","TechnicalSupport","No"
"Cust4974","OnlineSecurity","Yes"
"Cust5085","OnlineSecurity","No"
"Cust5979","DeviceProtection","Yes"
"Cust4356","HasPhoneService","1"
"Cust4874","OnlineBackup","Yes"
"Cust1938","StreamingTelevision","No internet service"
"Cust6168","MultipleLines","No"
"Cust6220","DeviceProtection","No internet service"
"Cust5555","OnlineBackup","No"
"Cust4847","StreamingTelevision","No internet service"
"Cust1409","InternetServiceCategory","DSL"
"Cust1802","MultipleLines","Yes"
"Cust4139","DeviceProtection","No"
"Cust2533","MultipleLines","No"
"Cust3647","TechnicalSupport","No"
"Cust2456","InternetServiceCategory","Fiber optic"
"Cust3902","DeviceProtection","No"
"Cust5458","MultipleLines","No"
"Cust4567","HasPhoneService","1"
"Cust5429","HasPhoneService","1"
"Cust4660","OnlineSecurity","No"
"Cust6215","OnlineBackup","No"
"Cust1475","MultipleLines","No"
"Cust3304","StreamingMovies","No internet service"
"Cust1662","HasPhoneService","1"
"Cust5491","TechnicalSupport","No"
"Cust1607","StreamingTelevision","No"
"Cust1586","StreamingMovies","No internet service"
"Cust4461","StreamingMovies","Yes"
"Cust3059","DeviceProtection","No internet service"
"Cust5884","StreamingTelevision","Yes"
"Cust1749","StreamingMovies","No"
"Cust2600","InternetServiceCategory","No"
"Cust3355","TechnicalSupport","No"
"Cust5580","OnlineSecurity","No"
"Cust3218","DeviceProtection","Yes"
"Cust2374","InternetServiceCategory","DSL"
"Cust3142","TechnicalSupport","No internet service"
"Cust3950","OnlineSecurity","No"
"Cust5287","HasPhoneService","1"
"Cust1784","MultipleLines","No"
"Cust4482","HasPhoneService","1"
"Cust1990","InternetServiceCategory","DSL"
"Cust1737","StreamingTelevision","Yes"
"Cust4063","MultipleLines","No phone service"
"Cust5766","OnlineSecurity","No"
"Cust3494","OnlineBackup","No"
"Cust2965","InternetServiceCategory","DSL"
"Cust4569","OnlineSecurity","Yes"
"Cust2595","StreamingTelevision","No"
"Cust4552","OnlineSecurity","No"
"Cust5808","StreamingTelevision","No"
"Cust6386","TechnicalSupport","No"
"Cust2278","MultipleLines","No"
"Cust5504","StreamingTelevision","No"
"Cust6145","OnlineBackup","No"
"Cust5250","HasPhoneService","1"
"Cust3131","DeviceProtection","No internet service"
"Cust6139","StreamingTelevision","Yes"
"Cust3434","OnlineBackup","Yes"
"Cust2740","OnlineBackup","No internet service"
"Cust1592","InternetServiceCategory","No"
"Cust4677","DeviceProtection","No internet service"
"Cust3890","StreamingMovies","No internet service"
"Cust6134","InternetServiceCategory","DSL"
"Cust5922","StreamingTelevision","Yes"
"Cust2851","HasPhoneService","1"
"Cust6112","MultipleLines","No phone service"
"Cust6235","OnlineBackup","Yes"
"Cust5779","StreamingMovies","No"
"Cust3800","TechnicalSupport","No"
"Cust5237","StreamingTelevision","Yes"
"Cust4546","StreamingTelevision","Yes"
"Cust5140","StreamingTelevision","No"
"Cust2585","StreamingMovies","Yes"
"Cust3515","DeviceProtection","Yes"
"Cust5564","DeviceProtection","No internet service"
"Cust5371","TechnicalSupport","Yes"
"Cust3157","OnlineBackup","No"
"Cust1587","TechnicalSupport","Yes"
"Cust3735","DeviceProtection","No"
"Cust1914","StreamingTelevision","Yes"
"Cust2998","OnlineBackup","No internet service"
"Cust2782","StreamingTelevision","Yes"
"Cust2288","DeviceProtection","No internet service"
"Cust2834","OnlineBackup","No"
"Cust1233","OnlineBackup","No internet service"
"Cust2717","OnlineSecurity","Yes"
"Cust3914","StreamingTelevision","Yes"
"Cust1674","HasPhoneService","1"
"Cust1531","OnlineSecurity","No"
"Cust6255","MultipleLines","Yes"
"Cust6385","InternetServiceCategory","DSL"
"Cust6397","DeviceProtection","Yes"
"Cust5989","StreamingTelevision","Yes"
"Cust1470","StreamingMovies","Yes"
"Cust3893","TechnicalSupport","Yes"
"Cust5705","OnlineBackup","No internet service"
"Cust5072","InternetServiceCategory","DSL"
"Cust2121","OnlineSecurity","No internet service"
"Cust2556","OnlineBackup","Yes"
"Cust6334","OnlineBackup","No"
"Cust3030","InternetServiceCategory","Fiber optic"
"Cust2627","OnlineSecurity","Yes"
"Cust4518","StreamingMovies","No internet service"
"Cust3997","StreamingTelevision","No"
"Cust2616","StreamingTelevision","Yes"
"Cust6445","OnlineSecurity","No internet service"
"Cust4695","TechnicalSupport","No"
"Cust1762","OnlineBackup","No"
"Cust2628","StreamingMovies","No internet service"
"Cust1849","MultipleLines","No"
"Cust1568","StreamingMovies","Yes"
"Cust5376","HasPhoneService","1"
"Cust2094","InternetServiceCategory","No"
"Cust1237","StreamingTelevision","No"
"Cust5543","MultipleLines","No"
"Cust6310","TechnicalSupport","No"
"Cust3263","HasPhoneService","1"
"Cust1975","StreamingMovies","No"
"Cust2032","DeviceProtection","No internet service"
"Cust2179","DeviceProtection","Yes"
"Cust1931","HasPhoneService","1"
"Cust4088","DeviceProtection","No"
"Cust4555","OnlineBackup","No"
"Cust2815","DeviceProtection","Yes"
"Cust4812","OnlineSecurity","No"
"Cust1486","OnlineSecurity","No internet service"
"Cust6003","StreamingMovies","No"
"Cust5739","StreamingTelevision","Yes"
"Cust2352","MultipleLines","No"
"Cust5036","MultipleLines","No"
"Cust5351","HasPhoneService","1"
"Cust1758","MultipleLines","Yes"
"Cust2308","StreamingMovies","Yes"
"Cust3838","MultipleLines","No phone service"
"Cust6092","MultipleLines","No"
"Cust2232","StreamingMovies","No"
"Cust1712","DeviceProtection","Yes"
"Cust4688","StreamingMovies","No internet service"
"Cust1481","DeviceProtection","No"
"Cust2920","OnlineBackup","No internet service"
"Cust2873","TechnicalSupport","No"
"Cust2370","HasPhoneService","1"
"Cust3752","TechnicalSupport","No"
"Cust3570","StreamingTelevision","Yes"
"Cust4357","DeviceProtection","No"
"Cust4395","HasPhoneService","1"
"Cust5203","DeviceProtection","Yes"
"Cust5022","OnlineSecurity","No"
"Cust2703","StreamingMovies","No"
"Cust2881","InternetServiceCategory","Fiber optic"
"Cust3078","InternetServiceCategory","No"
"Cust5666","InternetServiceCategory","No"
"Cust5263","HasPhoneService","1"
"Cust2549","MultipleLines","No"
"Cust1443","InternetServiceCategory","No"
"Cust6001","InternetServiceCategory","DSL"
"Cust5096","OnlineBackup","No"
"Cust4018","StreamingTelevision","No"
"Cust1755","HasPhoneService","1"
"Cust6281","OnlineBackup","No"
"Cust5717","TechnicalSupport","No"
"Cust1336","OnlineSecurity","Yes"
"Cust6356","TechnicalSupport","Yes"
"Cust4783","StreamingMovies","No"
"Cust6113","TechnicalSupport","No"
"Cust4736","OnlineSecurity","No"
"Cust4173","StreamingTelevision","No internet service"
"Cust1959","OnlineBackup","No"
"Cust4374","TechnicalSupport","No"
"Cust4707","StreamingMovies","No"
"Cust2505","TechnicalSupport","No"
"Cust4051","HasPhoneService","1"
"Cust1410","MultipleLines","Yes"
"Cust4284","HasPhoneService","1"
"Cust2030","StreamingTelevision","No"
"Cust6377","DeviceProtection","Yes"
"Cust4878","TechnicalSupport","No"
"Cust4870","HasPhoneService","1"
"Cust5743","OnlineSecurity","Yes"
"Cust4094","HasPhoneService","1"
"Cust1211","DeviceProtection","No internet service"
"Cust2229","InternetServiceCategory","Fiber optic"
"Cust4638","TechnicalSupport","Yes"
"Cust5199","StreamingMovies","No internet service"
"Cust3440","InternetServiceCategory","DSL"
"Cust3436","OnlineBackup","Yes"
"Cust6192","TechnicalSupport","No internet service"
"Cust6244","DeviceProtection","No internet service"
"Cust3681","HasPhoneService","1"
"Cust5217","InternetServiceCategory","DSL"
"Cust2071","TechnicalSupport","No"
"Cust4419","OnlineSecurity","No"
"Cust4411","StreamingTelevision","No"
"Cust1319","OnlineSecurity","No"
"Cust5425","MultipleLines","No"
"Cust1577","InternetServiceCategory","No"
"Cust1433","MultipleLines","No"
"Cust3763","OnlineSecurity","No"
"Cust4682","HasPhoneService","1"
"Cust3134","HasPhoneService","1"
"Cust4686","TechnicalSupport","Yes"
"Cust1993","InternetServiceCategory","Fiber optic"
"Cust6498","DeviceProtection","No internet service"
"Cust2443","OnlineBackup","No"
"Cust1837","StreamingMovies","No"
"Cust2063","OnlineSecurity","Yes"
"Cust5420","DeviceProtection","No"
"Cust1446","MultipleLines","No"
"Cust6124","MultipleLines","Yes"
"Cust6009","DeviceProtection","No"
"Cust6080","StreamingTelevision","No internet service"
"Cust2075","StreamingTelevision","No"
"Cust2530","StreamingMovies","No"
"Cust3692","DeviceProtection","Yes"
"Cust2886","DeviceProtection","No"
"Cust2440","StreamingMovies","Yes"
"Cust5899","StreamingMovies","No"
"Cust1627","DeviceProtection","No"
"Cust1621","InternetServiceCategory","Fiber optic"
"Cust1888","TechnicalSupport","No"
"Cust4499","OnlineBackup","Yes"
"Cust1469","OnlineSecurity","Yes"
"Cust3633","TechnicalSupport","Yes"
"Cust2392","OnlineSecurity","Yes"
"Cust1309","StreamingTelevision","No internet service"
"Cust4759","StreamingMovies","No"
"Cust3206","TechnicalSupport","No"
"Cust5738","OnlineBackup","No"
"Cust2339","StreamingMovies","No"
"Cust2977","StreamingMovies","No"
"Cust3319","DeviceProtection","Yes"
"Cust6222","InternetServiceCategory","Fiber optic"
"Cust4761","StreamingMovies","No"
"Cust1461","InternetServiceCategory","Fiber optic"
"Cust1425","OnlineSecurity","No"
"Cust3182","TechnicalSupport","No"
"Cust2787","TechnicalSupport","Yes"
"Cust4940","OnlineBackup","Yes"
"Cust3743","StreamingTelevision","No internet service"
"Cust3363","HasPhoneService","1"
"Cust5374","OnlineSecurity","Yes"
"Cust3206","OnlineSecurity","No"
"Cust3291","HasPhoneService","1"
"Cust1822","StreamingMovies","No"
"Cust6278","InternetServiceCategory","No"
"Cust5113","OnlineBackup","Yes"
"Cust4386","StreamingTelevision","No internet service"
"Cust2975","HasPhoneService","1"
"Cust1274","StreamingTelevision","Yes"
"Cust4447","StreamingTelevision","No"
"Cust2756","InternetServiceCategory","DSL"
"Cust1883","StreamingMovies","No internet service"
"Cust1449","TechnicalSupport","No"
"Cust1481","InternetServiceCategory","DSL"
"Cust3385","InternetServiceCategory","Fiber optic"
"Cust1660","StreamingTelevision","No"
"Cust6362","StreamingMovies","Yes"
"Cust2692","TechnicalSupport","No internet service"
"Cust1841","TechnicalSupport","Yes"
"Cust5184","StreamingTelevision","No internet service"
"Cust2414","OnlineBackup","No internet service"
"Cust4034","InternetServiceCategory","Fiber optic"
"Cust2200","OnlineBackup","No"
"Cust2240","OnlineSecurity","No"
"Cust2433","DeviceProtection","No"
"Cust3782","OnlineBackup","No internet service"
"Cust1358","MultipleLines","No"
"Cust1795","OnlineBackup","No internet service"
"Cust6253","DeviceProtection","No"
"Cust1240","OnlineBackup","Yes"
"Cust4320","TechnicalSupport","Yes"
"Cust6287","OnlineBackup","Yes"
"Cust5834","StreamingMovies","No internet service"
"Cust6091","MultipleLines","No"
"Cust4987","OnlineSecurity","Yes"
"Cust4298","OnlineBackup","No"
"Cust2260","OnlineSecurity","Yes"
"Cust3910","OnlineSecurity","Yes"
"Cust4189","StreamingTelevision","No"
"Cust5911","StreamingMovies","Yes"
"Cust2515","TechnicalSupport","No"
"Cust2733","HasPhoneService","1"
"Cust1326","OnlineSecurity","Yes"
"Cust1794","OnlineSecurity","No"
"Cust4872","DeviceProtection","No"
"Cust4234","MultipleLines","No"
"Cust5475","MultipleLines","No"
"Cust1588","DeviceProtection","Yes"
"Cust6050","HasPhoneService","1"
"Cust4937","StreamingMovies","Yes"
"Cust2432","OnlineSecurity","No"
"Cust3279","HasPhoneService","1"
"Cust2899","OnlineBackup","Yes"
"Cust4700","StreamingTelevision","No internet service"
"Cust2920","HasPhoneService","1"
"Cust3828","HasPhoneService","0"
"Cust4635","HasPhoneService","1"
"Cust4127","OnlineSecurity","No"
"Cust5689","OnlineBackup","Yes"
"Cust5927","MultipleLines","No"
"Cust2476","InternetServiceCategory","DSL"
"Cust2430","MultipleLines","No"
"Cust2254","StreamingTelevision","Yes"
"Cust2374","MultipleLines","Yes"
"Cust4604","HasPhoneService","1"
"Cust2989","StreamingTelevision","No"
"Cust3518","HasPhoneService","1"
"Cust4218","DeviceProtection","No internet service"
"Cust2475","MultipleLines","Yes"
"Cust5801","DeviceProtection","No"
"Cust3038","OnlineSecurity","No internet service"
"Cust5301","OnlineBackup","Yes"
"Cust2109","MultipleLines","No"
"Cust3952","MultipleLines","No"
"Cust5630","StreamingMovies","Yes"
"Cust5081","InternetServiceCategory","No"
"Cust3558","MultipleLines","No"
"Cust3717","StreamingTelevision","No"
"Cust4846","OnlineBackup","No"
"Cust4338","TechnicalSupport","No"
"Cust1846","InternetServiceCategory","DSL"
"Cust4566","StreamingMovies","No internet service"
"Cust4774","OnlineBackup","No"
"Cust3508","StreamingTelevision","No"
"Cust1894","OnlineSecurity","No"
"Cust2435","InternetServiceCategory","No"
"Cust5376","InternetServiceCategory","DSL"
"Cust4906","HasPhoneService","1"
